player,minute,second,x,y,type,outcome,endX,endY
odegaard,45,0,14,60,Pass,Successful,10,58
odegaard,45,25,18,58,Pass,Unsuccessful,13,48
odegaard,46,4,20,58,Pass,Unsuccessful,15,49
odegaard,46,7,25,70,Pass,Successful,3,70
odegaard,46,55,26,55,Pass,Successful,30,55
odegaard,47,42,28,76,Pass,Successful,12,23
odegaard,49,47,23,90,Pass,Successful,25,83
odegaard,50,10,25,63,Pass,Successful,20,40
odegaard,50,17,25,58,Pass,Successful,39,56
odegaard,50,24,31,54,Pass,Unsuccessful,14,50
odegaard,55,22,28,60,Pass,Successful,26,53
odegaard,56,24,38,42,Pass,Successful,37,51
odegaard,60,23,64,59,Pass,Unsuccessful,16,31
odegaard,60,23,78,91,Pass,Successful,76,86
odegaard,60,23,56,88,Pass,Successful,45,29
odegaard,60,23,71,50,Pass,Successful,52,43
odegaard,60,23,56,73,Pass,Successful,61,52
odegaard,60,23,64,39,Pass,Successful,76,61
odegaard,60,23,41,59,Pass,Unsuccessful,25,63
odegaard,60,23,39,54,Pass,Successful,40,84
odegaard,60,23,21,90,Pass,Successful,23,87
odegaard,60,23,28,80,Pass,Successful,23,89
odegaard,60,23,34,78,Pass,Unsuccessful,16,39
odegaard,60,23,36,70,Pass,Successful,41,91
odegaard,60,23,41,65,Pass,Successful,47,63
odegaard,60,23,43,64,Pass,Successful,41,60
odegaard,60,23,63,67,Pass,Successful,58,89
